id,page,x,y,caption
img_063,33,47.99,526.51,Hydropic change kidney. The tubular epithelial cells are distended with cytoplasmic vacuoles while the interstitial vasculature is compressed. The nuclei of aff ected tubules are pale.
img_064,34,48.18,42.0,Intracellular hyaline as Russell’s bodies in the plasma cells. The cytoplasm shows pink homogeneous globular material due to accumulated immunoglobulins.
img_065,34,311.94,42.72,Extracellular hyaline deposit in leiomyoma uterus. The centres of whorls of smooth muscle and connective tissue show pink homogeneous hyaline material (connective tissue hyaline).
img_066,34,312.03,495.6,Epithelial mucin. Mucinous cystadenoma of the ovary showing intracytoplasmic mucinous material in the epithelial cells lining the cyst.
img_070,35,48.0,41.88,Connective tissue mucin (myxoid change) in neuro fi broma.
img_071,36,337.67,42.89,Fatty liver. Sectioned slice of the liver shows pale yellow parenchyma with rounded borders.
img_072,36,63.36,429.6,Lipid metabolism in the pathogenesis of fatty liver. Defects in any of the six numbered steps (corresponding to the description in the text) can produce fatty liver by diff erent etiologic agents.
img_075,37,53.4,45.18,"Fatty liver. Many of the hepatocytes are distended with large fat vacuoles pushing the nuclei to the periphery (macrovesicles), while others show multiple small vacuoles in the cytoplasm (microvesicles). Inbox shows red colour in the cytoplasmic fat in the hepatocytes in Oil Red O stain in frozen section."
img_080,39,47.36,41.58,"Compound naevus showing clusters of benign naevus cells in the dermis as well as in lower epidermis. These cells contain coarse, granular, brown-black melanin pigment."
img_081,39,48.54,519.12,Haemosiderin pigment in the cytoplasm. H & E stain shows golden brown granules in the cytoplasm of macrophages (A) which stain positive in Perl’s stain as Prussian blue granules
img_082,39,312.02,519.12,Haemosiderin pigment in the cytoplasm. H & E stain shows golden brown granules in the cytoplasm of macrophages (B).
img_083,40,52.44,42.0,Eff ects of haemosiderosis.
img_084,41,47.65,41.8,"Brown atrophy of the heart. The lipofuscin pigment granules are seen in the cytoplasm of the myocardial fi bres, especially around the nuclei."
img_090,42,50.46,42.6,Anthracosis lung. There is presence of abundant coarse black carbon pigment in the septal walls and around the bronchiole.
img_091,43,122.46,42.0,"Nuclear and cytoplasmic changes in necrosis. A, Normal cell. B, Cytoplasm is more pink and nucleus is shrunken (pyknosis). C, Cytoplasm is more pink and the nucleus is fragmented (karyorrhexis). D, The cytoplasm is intensely pink and nuclear material has disappeared (karyolysis)."
img_092,43,48.54,513.84,Coagulative necrosis in infarct kidney. The aff ected area on right shows cells with intensely eosinophilic cytoplasm of tubular cells but the outlines of tubules are still maintained. The nuclei show granular debris. The interface between viable and non-viable area shows non-specifi c chronic infl ammation and proliferating vessels.
img_093,44,74.82,42.12,"Liquefactive necrosis brain. The necrosed area on right side of the fi eld shows a cystic space containing cell debris, while the surrounding zone shows granulation tissue and gliosis."
img_094,44,52.38,519.6,"Caseous necrosis lymph node. There is eosinophilic, amorphous, granular material, while the periphery shows granulomatous infl ammation."
img_095,45,51.48,45.24,"Fat necrosis is cloudy appearance of adipocytes, coarse basophilic granular debris while the periphery shows a few mixed infl ammatory cells."
img_096,45,315.94,45.36,Fibrinoid necrosis in autoimmune vasculitis. The vessel wall shows brightly pink amorphous material and nuclear fragments of necrosed neutrophils.
img_097,46,51.53,44.88,"Apoptotic bodies in the layer of squamous mucosa (shown by arrows). The dead cell seen in singles, is shrunken, the nucleus has clumped chromatin, while the cytoplasms in intensely eosinophilic. There is no infl ammation, unlike necrosis."
img_098,46,324.06,279.36,"Necrosis and apoptosis. A, Cell necrosis is identifi ed by homogeneous, eosinophilic cytoplasm and nuclear changes of pyknosis, karyolysis, and karyorrhexis. B, Apoptosis consists of condensation of nuclear chromatin and fragmentation of the cell into membrane-bound apoptotic bodies which are engulfed by macrophages."
img_104,48,89.82,41.82,Molecular mechanism of apoptosis contrasted with sequence of morphologic changes.
img_106,49,76.14,41.88,"Dry gangrene of the foot. The gangrenous area is dry, shrunken and dark and is separated from the viable tissue by clear line of separation."
img_107,49,322.38,490.68,"Dry gangrene of the foot. Microscopy shows coagulative necrosis of the skin, muscle and other soft tissue, and thrombosed vessels."
img_109,50,49.3,522.12,Wet gangrene of the small bowel. Microscopy shows coagulative necrosis of the aff ected bowel wall and thrombosed vessels while the junction with normal intestine is indistinct and shows an infl ammatory infi ltrate.
img_110,51,51.72,502.08,"Dystrophic calcifi cation in caseous necrosis in tuberculous lymph node. In H & E, the deposits are basophilic granular while the periphery shows healed granulomas."
img_111,51,311.94,488.28,Dystrophic calcifi cation in degenerated tunica media of muscular artery of uterine myometrium in Mönckeberg’s arterio sclerosis.
img_116,52,315.42,44.94,Metastatic calcifi cation in tubular basement membrane in nephrocalcinosis due to hypercalcaemia.
img_118,54,143.1,42.0,Adaptive disorders of growth.
img_119,55,47.99,41.93,Cardiac hypertrophy. Weight of the heart is increased. The chambers opened up at the apex show concentric thickening of left ventricular wall (white arrow) with obliterated lumen (hypertrophy without dilatation).
img_120,55,311.52,500.58,Nodular hyperplasia of the prostate. There is hyperplasia of both fi bromuscular elements and epithelium seen as areas of intra-acinar papillary infoldings (convolutions) lined by two layers of epithelium with basal polarity of nuclei.
img_122,56,48.0,476.88,Squamous metaplasia of the uterine cervix. Part of the endocervical mucosa is lined by normal columnar epithelium while foci of metaplastic squamous epithelium are seen at other places.
img_123,56,315.42,507.18,Columnar metaplasia oesophagus (Barrett’s oeso phagus). Part of the oesophagus which is normally lined by squamous epithelium undergoes metaplastic change to columnar epithelium of intestinal type.
img_126,57,312.06,42.0,"Uterine cervical dysplasia, high grade lesion. It shows increased number of layers of squamous epithelium having marked cytologic atypia including mitoses."
img_128,58,323.34,42.0,"Telomeres on chromosomes. In ageing, these end compo- nents of chromosome are progressively shortened."
img_143,65,68.7,479.04,HLA system and loci on short arm of chromosome 6.
img_151,72,48.43,42.26,Major pathological lesions and clinical manifestations of HIV/AIDS.
img_164,79,47.13,41.74,Organ specifi c and systemic autoimmune diseases.
img_165,80,311.94,41.88,Typical LE cell. There are two LE cells having rounded masses of amorphous nuclear material (LE body) which has displaced the lobes of neutrophil to the rim of the cell.
img_173,89,321.66,50.76,Abdominal fat aspirate smear stained with Congo red.
img_174,90,53.61,497.34,"Amyloidosis of kidney. The amyloid deposits are seen mainly in the glomerular capillary tuft. The deposits are also present in peritubular connective tissue producing atrophic tubules and amyloid casts in the tubular lumina, and in the arterial wall producing luminal narrowing."
img_175,90,50.04,44.82,"Amyloidosis of kidney. The kidney is small and pale in colour. Sectioned surface shows loss of cortico-medullary distinction (arrow) and pale, waxy translucency."
img_176,91,51.96,44.76,"Amyloidosis kidney, Congo red stain. A, The amyloid deposits are seen mainly in the glomerular capillary tuft stained red- pink (Congophilia). B, Viewing the same under polarising microscopy, the congophilic areas show apple-green birefringence."
img_177,91,53.4,497.4,Gross patterns of amyloidosis of the spleen.
img_178,91,338.52,42.0,Lardaceous amyloidosis of the spleen. The sectioned surface shows presence of plae waxy translucency in a map-like pattern.
img_180,92,54.1,44.64,"Amyloidosis spleen. A, The pink acellular amyloid material is seen in the red pulp causing atrophy of while pulp. B, Congo red staining shows Congophilia as seen by red-pink colour. C, When viewed under polarising microscopy the corresponding area shows apple-green birefringence."
img_181,92,48.0,521.88,"Amyloidosis of the liver. A, The deposition is extensive in the space of Disse causing compression and pressure atrophy of hepatocytes. B, Congo red staining shows congophilia which under polarising microscopy shows apple-green birefringence."
img_190,94,60.96,583.13,Distribution of body fluid compartments.
img_191,94,344.28,160.8,Body fluid compartments compartment; ECF = extracellular fluid compartment).
img_197,102,48.24,525.1,"Pulmonary oedema. The alveolar capillaries are congested. The alveolar spaces as well as interstitium contain eosinophilic, granular, homogeneous and pink proteinaceous oedema fluid alongwith some RBCs and inflammatory cells."
img_200,106,53.16,42.0,Normal haemodynamic flow of blood in the body.
img_204,108,48.0,42.24,"CVC lung. The alveolar septa are widened and thickened due to congestion, oedema and mild fibrosis. The alveolar lumina contain heart failure cells (alveolar macrophages containing haemosiderin pigment)."
img_205,109,48.0,42.24,CVC liver. The centrilobular zone shows marked degene ration and necrosis of hepatocytes accompanied by haemor rhage while the peripheral zone shows mild fatty change of liver cells.
img_206,109,336.16,427.12,CVC spleen (Congestive splenomegaly). Sectioned surface shows that the spleen is heavy and enlarged in size. The colour of sectioned surface is grey­tan.
img_208,110,48.0,42.24,"CVC spleen. The sinuses are dilated and congested. There is increased fibrosis in the red pulp, capsule and the trabeculae. A Gamna­ Gandy body is also seen."
img_209,112,85.08,42.0,Pathogenesis of circulatory shock.
img_210,112,315.0,400.01,Response of inflammatory mediators in shock.
img_214,116,58.44,42.39,Major factors in pathophysiology of thrombus formation.
img_215,116,336.84,385.8,"Role of endothelial injury and platelet activation in thrombosis. A, Endothelial injury exposes subendothelial matrix to circulating blood. B, This triggers three platelet steps involving platelet activation: adhesion, release and aggregation. Platelet release is associated with release of granules (alpha granules and dense bodies). C, Concurrent activation of coagulation cascade generates fibrin strands and thrombin forming a tight meshwork called thrombus."
img_217,118,46.2,525.11,Alterations in flow of blood.
img_218,120,48.49,42.24,Thrombus in an artery. The thrombus is adherent to the arterial wall and is seen occluding most of the lumen. It shows lines of Zahn composed of granular­looking platelets and fibrin meshwork with entangled red cells and leucocytes.
img_220,121,67.2,42.24,Fate of thrombus.
img_221,122,312.22,42.36,Sources of arterial and venous emboli.
img_222,123,48.24,42.0,Major consequences of pulmonary embolism.
img_224,127,342.6,42.24,Common locations of systemic infarcts following arterial embolism.
img_225,129,312.0,42.0,Haemorrhagic infarct lung. Infarcted area shows ghost alveoli filled with blood.
img_226,129,362.04,477.87,Infarct kidney. The wedge­shaped infarct is slightly depressed on the surface. The apex lies internally and wide base is on the surface. The central area is pale while the margin is haemorrhagic.
img_227,129,48.0,42.0,Haemorrhagic infarct lung. The sectioned surface shows dark tan firm areas (arrow) with base on the pleura.
img_229,130,48.0,42.0,Renal infarct. Renal tubules and glomeruli show typical coagulative necrosis i.e. intact outlines of necrosed cells. There is acute inflammatory infiltrate at the periphery of the infarct.
img_230,130,61.44,486.0,"Pale infarct spleen. A wedge­shaped shrunken area of pale colour is seen with base resting under the capsule, while the margin is congested."
img_231,130,312.37,42.25,Pale infarct spleen. The affected area shows outlines of cells only due to coagulative necrosis while the margin of infracted area shows haemorrhage.
img_235,133,63.6,540.84,"A, ‘Triple response’ elicited by firm stroking of skin of forearm with a pencil. B, Diagrammatic view of microscopic features of triple response of the skin."
img_236,134,49.56,42.0,"Fluid interchange between blood and extracellular fluid (ECF). (HP = hydrostatic pressure, OP = osmotic pressure)."
img_239,136,312.0,42.0,"The Boyden’s chamber with millipore filter, shown by dotted line. A, Suspension of leucocytes above is separated from test solution below. B, Lower half of chamber shows migration of neutrophils towards chemotactic agent."
img_240,137,75.96,42.0,"Stages in phagocytosis of a foreign particle. A, Opsonisation of the particle. B, Pseudopod engulfing the opsonised particle. C, Incorporation within the cell (phagocytic vacuole) and degranulation. D, Phagolysosome formation after fusion of lysosome of the cell."
img_242,139,53.52,507.6,Mediators of inflammation.
img_245,143,52.08,605.25,Pathway of kinin system.
img_246,143,77.64,42.0,"Inter-relationship among clotting, fibrinolytic, kinin and complement systems."
img_248,144,51.96,645.82,The activation of fibrinolytic system.
img_249,144,60.36,42.0,Pathway of the clotting system.
img_257,147,47.61,42.79,"Giant cells of various types. A, Foreign body giant cell with uniform nuclei dispersed throughout the cytoplasm. B, Langhans’ giant cells with uniform nuclei arranged peripherally or clustered at the two poles. C, Touton giant cell with circular pattern of nuclei and vacuolated cytoplasm. D, Anaplastic tumour giant cell with nuclei of variable size and shape. E, Reed-Sternberg cell. F, Osteoclastic tumour giant cell."
img_258,148,66.36,527.16,"An abscess in the skin. It contains pus composed of necrotic tissue, debris, fibrin, RBCs and dead and living neutrophils. Some macrophages are seen at the periphery."
img_259,149,53.4,380.38,Sequelae of pyaemia.
img_261,150,48.0,532.8,Fate of acute inflammation.
img_263,152,312.0,455.28,"Morphology of a tubercle. There is central caseation necrosis, surrounded by elongated epithelioid cells having characteristic slipper-shaped nuclei, with interspersed Langhans’ giant cells. Periphery shows lymphocytes."
img_266,155,48.0,502.0,Tuberculosis of the lymph nodes showing presence of acid-fast bacilli in Ziehl-Neelsen staining.
img_268,158,69.0,524.4,"The primary complex is composed of 3 components: Ghon’s focus, draining lymphatics, and hilar lymph nodes."
img_269,159,53.4,539.28,"Sequelae of primary complex. A, Healing by fibrosis and calcification. B, Progressive primary tuberculosis spreading to the other areas of the same lung or opposite lung. C, Miliary spread to lungs, liver, spleen, kidneys and brain. D, Progressive secondary pulmonary tuberculosis from reactivation of dormant primary complex."
img_270,159,50.4,42.0,"Caseating granulomatous lymphadenitis. A, Cut section of matted mass of lymph nodes shows merging capsules and large areas of caseation necrosis (arrow). B, Caseating epithelioid cell granulomas with a few Langhans’ giant cells in the cortex of lymph node."
img_271,160,51.24,42.0,"Progressive secondary tuberculosis. A, Endogenous infection from reactivation of dormant primary complex. B, Exogenous infection from fresh dose of tubercle bacilli."
img_272,160,65.52,567.34,"Fibrocaseous tuberculosis. A, Non-cavitary (chronic) fibrocaseous tuberculosis (left) and cavitary/open fibrocaseous tuberculosis (right). B, Chronic fibrocaseous tuberculosis lung. Sectioned surface shows a cavity in the apex of the lung (arrow). There is consolidation of lung parenchyma surrounding the cavity."
img_273,161,57.84,519.34,"A, Bilateral tuberculous caseous pneumonia. B, Tuberculous caseous pneumonia showing exudative reaction. In AFB staining, these cases have numerous acid-fast bacilli (not shown here)."
img_274,161,47.76,42.0,Microscopic appearance of lesions of secondary fibrocaseous tuberculosis of the lung showing wall of the cavity.
img_275,161,311.52,43.68,Microscopic appearance of lesions of secondary fibrocaseous tuberculosis of the lung showing wall of the cavity.
img_277,162,48.0,42.02,Miliary spread by lymphohaematogenous route.
img_278,162,48.0,518.73,Miliary tubercles in lung having minute areas of central caseation necrosis.
img_279,162,312.0,42.19,Miliary tuberculosis lung. The sectioned surface of the lung parenchyma shows presence of minute millet-seed sized tubercles.
img_280,163,48.0,42.19,The spectrum of lesions in the lungs and pleura in all types of pulmonary tuberculosis.
img_281,163,312.0,511.11,Lepra bacilli in LL are seen as globi and cigarettes-in-a-pack appearance inside the foam macrophages (Fite-Faraco stain).
img_282,165,48.0,525.68,"Lepromatous leprosy (LL). There is collection of proliferating foam macrophages (lepra cells) in the dermis, sparse lymphocytes and a clear subepidermal zone."
img_283,166,48.0,41.9,Tuberculoid leprosy (TT). Granuloma eroding the basal layer of the epidermis. The granuloma is composed of epithelioid cells with sparse Langhans’ giant cells and many lymphocytes.
img_285,168,48.0,42.3,"Organ involvement in various stages of acquired syphilis. A, Primary syphilis: Pri mary lesion is ‘chancre’ on glans penis. B, Secondary syphilis: Muco cutaneous lesions—mucous patches on oral and vagi nal mucosa and generalised skin eruptions. C,Tertiary syphilis: Localised lesion as gumma of liver with scarring (hepar lobatum); diffuse lesions (right) in aorta (aneurysm, narrowing of mouths of coronary ostia and incompetence of aortic valve ring) and nervous system."
img_286,168,312.0,515.45,Typical microscopic appearance in the case of syphilitic gumma of the liver. Central coagulative necrosis is surrounded by palisades of macrophages and plasma cells marginated peripherally by fibroblasts.
img_287,169,353.64,43.92,"Actinomycosis, sites and routes of infection."
img_290,170,48.0,41.61,Actinomycosis. Microscopic appearance of sulphur granule lying inside an abscess. The margin of the colony shows hyaline filaments highlighted by Masson’s trichrome stain (right photomicrograph).
img_291,171,48.0,519.41,"Sarcoidosis in lymph node. Characteristically, there are non-caseating epithelioid cell granulomas which have paucity of lympho cytes. A giant cell with inclusions is also seen in the photomicrograph (arrow)."
img_293,171,68.88,42.0,Common location of lesions in sarcoidosis. The lesions are predominantly seen in lymph nodes and throughout lung parenchyma.
img_294,172,62.4,42.0,"Parenchymal cells in relation to cell cycle (G0–Resting phase; G1, G2–Gaps; S–Synthesis phase; M–Mitosis phase). The inner circle shown with green line represents cell cycle for labile cells; circle shown with yellow-orange line represents cell cycle for stable cells; and the circle shown with red line represents cell cycle for permanent cells. Compare them with traffic signals—green stands for ‘go’ applies here to dividing labile cells; yellow- orange signal for ‘ready to go’ applies here to stable cells which can be stimulated to enter cell cycle; and red signal for ‘stop’ here means non-dividing permanent cells."
img_296,173,48.0,43.1,"Active granulation tissue has inflammatory cell infiltrate, newly formed blood vessels and young fibrous tissue in loose matrix."
