id,page,x,y,caption
img_005,43,324.61,53.98,"Fig. 2.3 Reversible cell injury and necrosis. The principal cellular alterations that characterize reversible cell injury and necrosis are illustrated. By conven- tion, reversible injury is considered to culminate in necrosis if the injurious stimulus is not removed."
img_007,44,59.99,53.93,Fig. 2.4 Morphologic changes in reversible and irreversible cell injury (necrosis). (A) Normal kidney tubules with viable epithelial cells.
img_008,44,221.27,53.93,"Fig. 2.4 Morphologic changes in reversible and irreversible cell injury (necrosis). (B) Early (reversible) ischemic injury showing surface blebs, increased eosinophilia of cytoplasm, and swelling of occasional cells."
img_009,44,382.67,53.93,"Fig. 2.4 Morphologic changes in reversible and irreversible cell injury (necrosis). (C) Necrotic (irreversible) injury of epithelial cells, with loss of nuclei and fragmentation of cells and leakage of contents."
img_011,46,61.57,53.97,Fig. 2.6 Coagulative necrosis. (A) A wedge-shaped kidney infarct (yellow) with preservation of the outlines.
img_012,46,295.33,53.97,"Fig. 2.6 Coagulative necrosis. (B) Microscopic view of the edge of the infarct, with normal kidney (N) and necrotic cells in the infarct (I). The necrotic cells show preserved outlines with loss of nuclei, and an inflammatory infiltrate is present (difficult to discern at this magnification)."
img_013,46,309.0,514.05,Fig. 2.7 Liquefactive necrosis. An infarct in the brain shows dissolution of the tissue.
img_015,47,57.0,54.0,"Fig. 2.8 Caseous necrosis. Tuberculosis of the lung, with a large area of caseous necrosis containing yellow-white (cheesy) debris."
img_016,47,57.0,535.75,Fig. 2.9 Fat necrosis in acute pancreatitis. The areas of white chalky deposits represent foci of fat necrosis with calcium soap formation (saponification) at sites of lipid breakdown in the mesentery.
img_017,47,321.0,54.0,Fig. 2.10 Fibrinoid necrosis in an artery in a patient with polyarteritis nodosa. The wall of the artery shows a circumferential bright pink area of necrosis with protein deposition and inflammation.
img_018,48,74.71,53.87,"Fig. 2.11 Apoptosis. The cellular alterations in apoptosis are illustrated. Contrast these with the changes that characterize necrotic cell death, shown in Fig. 2.3."
img_019,50,345.49,53.94,"Fig. 2.13 Morphologic appearance of apoptotic cells. Apoptotic cells (some indicated by arrows) in colonic epithelium are shown. (Some preparative regimens for colonoscopy may induce apoptosis in epithelial cells, which explains the presence of dead cells in this biopsy.) Note the fragmented nuclei with condensed chromatin and the shrunken cell bodies, some with pieces falling off."
img_022,58,45.47,505.74,Fig. 2.20 Physiologic hypertrophy of the uterus during pregnancy. (A) Gross appearance of a normal uterus (right) and a gravid uterus (left) that was removed for postpartum bleeding.
img_023,58,216.35,505.74,Fig. 2.20 Physiologic hypertrophy of the uterus during pregnancy. (B) Small spindle-shaped uterine smooth muscle cells from a normal uterus.
img_024,58,387.35,505.74,"Fig. 2.20 Physiologic hypertrophy of the uterus during pregnancy. (C) Large, plump hypertrophied smooth muscle cells from a gravid uterus; compare with B. (B and C, Same magnification.)"
